data,method1,method2,criteria,value,methods
TCGA,Birch,HC (ward),Fowlkes Mallows,1.0,Birch:HC (ward)
TCGA,Birch,HC (ward),V Measure,1.0,Birch:HC (ward)
TCGA,K-Means,K-Means,ARI,1.0,K-Means:K-Means
TCGA,K-Means,K-Means,MI,1.0,K-Means:K-Means
TCGA,K-Means,K-Means,Fowlkes Mallows,1.0,K-Means:K-Means
TCGA,K-Means,K-Means,V Measure,1.0,K-Means:K-Means
TCGA,Gaussian MM,K-Means (minibatch),ARI,0.46123857395189133,Gaussian MM:K-Means (minibatch)
TCGA,Gaussian MM,K-Means (minibatch),MI,0.5517479523447006,Gaussian MM:K-Means (minibatch)
TCGA,Gaussian MM,K-Means (minibatch),Fowlkes Mallows,0.5882963888571406,Gaussian MM:K-Means (minibatch)
TCGA,Gaussian MM,K-Means (minibatch),V Measure,0.559647507214663,Gaussian MM:K-Means (minibatch)
TCGA,K-Means,K-Means (minibatch),ARI,0.4938144464608737,K-Means:K-Means (minibatch)
TCGA,K-Means,K-Means (minibatch),MI,0.572786310557001,K-Means:K-Means (minibatch)
TCGA,K-Means,K-Means (minibatch),Fowlkes Mallows,0.6135958822342684,K-Means:K-Means (minibatch)
TCGA,K-Means,K-Means (minibatch),V Measure,0.5803262662617024,K-Means:K-Means (minibatch)
TCGA,K-Means (minibatch),K-Means (minibatch),ARI,1.0,K-Means (minibatch):K-Means (minibatch)
TCGA,K-Means (minibatch),K-Means (minibatch),MI,1.0,K-Means (minibatch):K-Means (minibatch)
TCGA,K-Means (minibatch),K-Means (minibatch),Fowlkes Mallows,1.0,K-Means (minibatch):K-Means (minibatch)
TCGA,K-Means (minibatch),K-Means (minibatch),V Measure,1.0,K-Means (minibatch):K-Means (minibatch)
TCGA,Birch,K-Means (minibatch),ARI,0.3926368069740161,Birch:K-Means (minibatch)
TCGA,Birch,K-Means (minibatch),MI,0.4797536733779669,Birch:K-Means (minibatch)
TCGA,Birch,K-Means (minibatch),Fowlkes Mallows,0.54337040207437,Birch:K-Means (minibatch)
TCGA,Birch,K-Means (minibatch),V Measure,0.4891538675913496,Birch:K-Means (minibatch)
TCGA,Gaussian MM,K-Means++,ARI,0.5986052225461802,Gaussian MM:K-Means++
TCGA,Gaussian MM,K-Means++,MI,0.6469616642788053,Gaussian MM:K-Means++
TCGA,Gaussian MM,K-Means++,Fowlkes Mallows,0.6894308586579464,Gaussian MM:K-Means++
TCGA,Gaussian MM,K-Means++,V Measure,0.6530709912680963,Gaussian MM:K-Means++
TCGA,K-Means,K-Means++,ARI,0.7106128635093333,K-Means:K-Means++
TCGA,K-Means,K-Means++,MI,0.7304598763792951,K-Means:K-Means++
TCGA,K-Means,K-Means++,Fowlkes Mallows,0.776901392591059,K-Means:K-Means++
TCGA,K-Means,K-Means++,V Measure,0.7351408326039056,K-Means:K-Means++
TCGA,K-Means (minibatch),K-Means++,ARI,0.4931513911503014,K-Means (minibatch):K-Means++
TCGA,K-Means (minibatch),K-Means++,MI,0.5740421273171633,K-Means (minibatch):K-Means++
TCGA,K-Means (minibatch),K-Means++,Fowlkes Mallows,0.6129271614593652,K-Means (minibatch):K-Means++
TCGA,K-Means (minibatch),K-Means++,V Measure,0.5815492103118929,K-Means (minibatch):K-Means++
TCGA,K-Means++,K-Means++,ARI,1.0,K-Means++:K-Means++
TCGA,K-Means++,K-Means++,MI,1.0,K-Means++:K-Means++
TCGA,K-Means++,K-Means++,Fowlkes Mallows,1.0,K-Means++:K-Means++
TCGA,K-Means++,K-Means++,V Measure,1.0,K-Means++:K-Means++
TCGA,Birch,K-Means++,ARI,0.48094480123238936,Birch:K-Means++
TCGA,Birch,K-Means++,MI,0.5396789959007556,Birch:K-Means++
TCGA,Birch,K-Means++,Fowlkes Mallows,0.6065580338113851,Birch:K-Means++
TCGA,Birch,K-Means++,V Measure,0.5478843504418828,Birch:K-Means++
TCGA,Birch,Gaussian MM,ARI,0.4373254734235343,Birch:Gaussian MM
TCGA,Birch,Gaussian MM,MI,0.5102210667031981,Birch:Gaussian MM
TCGA,Birch,Gaussian MM,Fowlkes Mallows,0.5729838646108234,Birch:Gaussian MM
TCGA,Birch,Gaussian MM,V Measure,0.5189438931872914,Birch:Gaussian MM
TCGA,Birch,K-Means,ARI,0.47973910997548913,Birch:K-Means
TCGA,Birch,K-Means,MI,0.5352218481091484,Birch:K-Means
TCGA,Birch,K-Means,Fowlkes Mallows,0.6059465498309524,Birch:K-Means
TCGA,Birch,K-Means,V Measure,0.5435229294133277,Birch:K-Means
TCGA,Birch,Birch,ARI,1.0,Birch:Birch
TCGA,Birch,Birch,MI,1.0,Birch:Birch
TCGA,Birch,Birch,Fowlkes Mallows,1.0,Birch:Birch
TCGA,Birch,Birch,V Measure,1.0,Birch:Birch
TCGA,Gaussian MM,Spectral (NN),ARI,0.5120094935149623,Gaussian MM:Spectral (NN)
TCGA,Gaussian MM,Spectral (NN),MI,0.5679097530421501,Gaussian MM:Spectral (NN)
TCGA,Gaussian MM,Spectral (NN),Fowlkes Mallows,0.6276266102669503,Gaussian MM:Spectral (NN)
TCGA,Gaussian MM,Spectral (NN),V Measure,0.575542126011452,Gaussian MM:Spectral (NN)
TCGA,HC (average),Spectral (NN),ARI,0.39064732423133064,HC (average):Spectral (NN)
TCGA,HC (average),Spectral (NN),MI,0.4508192851862246,HC (average):Spectral (NN)
TCGA,HC (average),Spectral (NN),Fowlkes Mallows,0.5789761559041134,HC (average):Spectral (NN)
TCGA,HC (average),Spectral (NN),V Measure,0.4616980009530732,HC (average):Spectral (NN)
TCGA,HC (complete),Spectral (NN),ARI,0.260888874942354,HC (complete):Spectral (NN)
TCGA,HC (complete),Spectral (NN),MI,0.34652824306934304,HC (complete):Spectral (NN)
TCGA,HC (complete),Spectral (NN),Fowlkes Mallows,0.4918755356809943,HC (complete):Spectral (NN)
TCGA,HC (complete),Spectral (NN),V Measure,0.3599360762643795,HC (complete):Spectral (NN)
TCGA,HC (single),Spectral (NN),ARI,-0.0024375149336667516,HC (single):Spectral (NN)
TCGA,HC (single),Spectral (NN),MI,-0.0026805366043915575,HC (single):Spectral (NN)
TCGA,HC (single),Spectral (NN),Fowlkes Mallows,0.48784855041821357,HC (single):Spectral (NN)
TCGA,HC (single),Spectral (NN),V Measure,0.021985583232755478,HC (single):Spectral (NN)
TCGA,HC (ward),Spectral (NN),ARI,0.46959816694025536,HC (ward):Spectral (NN)
TCGA,HC (ward),Spectral (NN),MI,0.5142797796836315,HC (ward):Spectral (NN)
TCGA,HC (ward),Spectral (NN),Fowlkes Mallows,0.60202443166344,HC (ward):Spectral (NN)
TCGA,HC (ward),Spectral (NN),V Measure,0.5231147336856631,HC (ward):Spectral (NN)
TCGA,K-Means,Spectral (NN),ARI,0.5749214938621438,K-Means:Spectral (NN)
TCGA,K-Means,Spectral (NN),MI,0.6112295719468759,K-Means:Spectral (NN)
TCGA,K-Means,Spectral (NN),Fowlkes Mallows,0.6763407209730281,K-Means:Spectral (NN)
TCGA,K-Means,Spectral (NN),V Measure,0.6181211305043564,K-Means:Spectral (NN)
TCGA,K-Means (minibatch),Spectral (NN),ARI,0.4396210490568705,K-Means (minibatch):Spectral (NN)
TCGA,K-Means (minibatch),Spectral (NN),MI,0.5181498693807912,K-Means (minibatch):Spectral (NN)
TCGA,K-Means (minibatch),Spectral (NN),Fowlkes Mallows,0.5770422194194063,K-Means (minibatch):Spectral (NN)
TCGA,K-Means (minibatch),Spectral (NN),V Measure,0.5268048396155479,K-Means (minibatch):Spectral (NN)
