data,method1,method2,noise,sigma,criteria,value,methods
Ceramic,Gaussian MM,HC (average),Laplace,2.0,V Measure,0.026714643862781978,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.0,ARI,0.7206925798481646,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.0,MI,0.6945565495726693,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.0,Fowlkes Mallows,0.8612096818682486,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.0,V Measure,0.6971351444642871,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.5,ARI,0.7580874109097644,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.5,MI,0.728913288574978,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.5,Fowlkes Mallows,0.8804944688691765,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,0.5,V Measure,0.7312113245457362,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.0,ARI,0.4513255993091663,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.0,MI,0.39666272429220994,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.0,Fowlkes Mallows,0.7389740121343177,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.0,V Measure,0.40240407688472807,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.5,ARI,0.1413734324946026,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.5,MI,0.11864157103617684,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.5,Fowlkes Mallows,0.6493711934729923,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,1.5,V Measure,0.13020833476466298,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,2.0,ARI,0.017920567793300667,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,2.0,MI,0.016875384341615313,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,2.0,Fowlkes Mallows,0.627299000446033,Gaussian MM:HC (average)
Ceramic,Gaussian MM,HC (average),Normal,2.0,V Measure,0.0307818351170173,Gaussian MM:HC (average)
Ceramic,HC (average),HC (average),Laplace,0.0,ARI,1.0,HC (average):HC (average)
Ceramic,HC (average),HC (average),Laplace,0.0,MI,1.0,HC (average):HC (average)
