data,model,iter,test_acc
MNIST,SVM,11,0.9118571428571428
MNIST,SVM,12,0.912095238095238
MNIST,SVM,13,0.9136190476190476
MNIST,SVM,16,0.9139047619047621
MNIST,SVM,17,0.9139047619047621
MNIST,SVM,18,0.9122380952380952
MNIST,SVM,19,0.9152380952380952
MNIST,SVM,20,0.9143809523809524
MNIST,SVM,21,0.9144761904761904
MNIST,SVM,22,0.9105238095238096
MNIST,SVM,23,0.9131428571428571
MNIST,SVM,24,0.9151904761904762
MNIST,SVM,25,0.9094761904761904
MNIST,SVM,26,0.914
MNIST,SVM,27,0.911
MNIST,SVM,30,0.9116190476190476
MNIST,SVM,31,0.9125238095238096
MNIST,SVM,32,0.9126190476190476
MNIST,SVM,33,0.9126666666666666
MNIST,SVM,34,0.9148571428571428
MNIST,SVM,35,0.9119047619047621
MNIST,SVM,36,0.9141428571428571
MNIST,SVM,37,0.9107619047619048
MNIST,SVM,38,0.9125714285714286
MNIST,SVM,39,0.9133333333333332
MNIST,SVM,40,0.9107142857142856
MNIST,SVM,41,0.914095238095238
MNIST,SVM,42,0.9134285714285716
MNIST,SVM,43,0.9132380952380952
MNIST,SVM,44,0.9099047619047621
MNIST,SVM,45,0.9111428571428573
MNIST,SVM,46,0.913047619047619
MNIST,SVM,47,0.9148571428571428
MNIST,SVM,50,0.9129047619047621
MNIST,SVM,51,0.9149047619047621
MNIST,SVM,52,0.9147619047619048
MNIST,SVM,53,0.911095238095238
MNIST,SVM,54,0.9117619047619048
MNIST,SVM,55,0.9109523809523812
MNIST,SVM,56,0.9157142857142856
MNIST,SVM,57,0.9119047619047621
MNIST,SVM,68,0.9143809523809524
MNIST,SVM,69,0.911095238095238
MNIST,SVM,78,0.9121428571428573
MNIST,SVM,79,0.9151428571428571
MNIST,SVM,80,0.9104761904761904
MNIST,SVM,81,0.914047619047619
MNIST,SVM,82,0.9114285714285716
MNIST,SVM,83,0.9135238095238096
MNIST,SVM,84,0.9125238095238096
MNIST,SVM,85,0.9134761904761904
MNIST,SVM,86,0.9115238095238096
MNIST,SVM,87,0.9186666666666666
MNIST,SVM,90,0.9138571428571428
MNIST,SVM,91,0.9167619047619048
MNIST,SVM,92,0.914
MNIST,SVM,93,0.9133809523809524
MNIST,SVM,94,0.9143809523809524
MNIST,SVM,95,0.9124285714285716
MNIST,SVM,96,0.9139523809523811
MNIST,SVM,97,0.9141428571428571
MNIST,MLP,64,0.9380476474761964
MNIST,LogisticRidge,10,0.9212380952380952
MNIST,XGB,59,0.9757142857142858
MNIST,MLP,70,0.9569523930549622
MNIST,XGB,98,0.9765238095238096
MNIST,MLP,99,0.9543809294700624
MNIST,LogisticRidge,12,0.9245238095238096
MNIST,MLP,66,0.952571451663971
MNIST,MLP,72,0.954809546470642
MNIST,XGB,73,0.9756190476190476
MNIST,XGB,67,0.9764761904761904
MNIST,Tree,97,0.6099047619047621
MNIST,SVM,7,0.9063809523809524
MNIST,SVM,15,0.9006666666666666
MNIST,SVM,29,0.9011428571428572
MNIST,LogisticRidge,43,0.920904761904762
MNIST,LogisticRidge,57,0.9205714285714286
MNIST,LogisticRidge,56,0.9226190476190476
MNIST,LogisticRidge,42,0.9211904761904762
MNIST,SVM,28,0.900904761904762
MNIST,SVM,14,0.9074761904761904
MNIST,SVM,6,0.9045714285714286
MNIST,Tree,38,0.698952380952381
MNIST,Tree,39,0.6606666666666666
MNIST,Tree,40,0.7901428571428571
MNIST,Tree,41,0.7439523809523809
MNIST,Tree,42,0.5835238095238096
MNIST,Tree,43,0.8580952380952381
MNIST,Tree,44,0.8255714285714286
MNIST,Tree,45,0.7456666666666667
MNIST,Tree,46,0.6810952380952381
MNIST,Tree,47,0.7324761904761905
MNIST,Tree,48,0.6295238095238095
MNIST,Tree,49,0.8507619047619047
MNIST,Tree,50,0.6978571428571428
MNIST,Tree,51,0.7124285714285714
MNIST,Tree,52,0.7276666666666667
MNIST,Tree,53,0.7478571428571429
MNIST,Tree,54,0.7645714285714286
MNIST,Tree,55,0.790047619047619
MNIST,Tree,56,0.7068095238095238
MNIST,Tree,57,0.7511428571428571
MNIST,Tree,58,0.8300952380952381
MNIST,Tree,59,0.7569523809523809
MNIST,Tree,60,0.8076190476190476
MNIST,Tree,61,0.7226190476190476
MNIST,Tree,62,0.6883333333333334
MNIST,Tree,63,0.7881428571428571
MNIST,Tree,64,0.8046666666666666
MNIST,Tree,65,0.7173333333333334
MNIST,Tree,66,0.7498095238095238
MNIST,Tree,67,0.865
MNIST,Tree,68,0.8194285714285714
MNIST,Tree,69,0.8245238095238095
MNIST,Tree,70,0.8403333333333334
MNIST,Tree,71,0.7565238095238095
MNIST,Tree,72,0.8611428571428571
MNIST,Tree,73,0.8059999999999999
MNIST,Tree,74,0.7038571428571428
MNIST,Tree,75,0.5009047619047619
MNIST,Tree,76,0.8169523809523811
MNIST,Tree,77,0.7885714285714286
MNIST,Tree,78,0.7340000000000001
MNIST,Tree,79,0.6388571428571429
MNIST,Tree,80,0.7267142857142858
MNIST,Tree,81,0.6800952380952381
MNIST,Tree,82,0.8360952380952381
MNIST,Tree,83,0.7083333333333334
MNIST,Tree,84,0.7347142857142858
MNIST,Tree,85,0.5448571428571428
MNIST,Tree,86,0.791047619047619
MNIST,Tree,87,0.5634285714285714
MNIST,Tree,88,0.6092857142857143
MNIST,Tree,89,0.862
MNIST,Tree,90,0.8165238095238095
MNIST,Tree,91,0.6932857142857143
MNIST,Tree,92,0.7909047619047619
MNIST,Tree,93,0.64
MNIST,Tree,94,0.7531904761904762
MNIST,Tree,95,0.7122857142857143
MNIST,Tree,96,0.6769047619047619
MNIST,XGB,66,0.9731904761904762
MNIST,XGB,72,0.9724761904761904
MNIST,MLP,73,0.947952389717102
MNIST,MLP,67,0.9530476331710817
MNIST,LogisticRidge,13,0.9244285714285714
MNIST,MLP,98,0.9491904973983764
MNIST,XGB,99,0.970904761904762
MNIST,XGB,15,0.973904761904762
MNIST,LogisticRidge,48,0.918904761904762
MNIST,XGB,29,0.9717142857142858
MNIST,LogisticRidge,74,0.9207619047619048
MNIST,LogisticRidge,60,0.9219523809523811
MNIST,SVM,98,0.9069523809523811
MNIST,LogisticRidge,25,0.920809523809524
MNIST,LogisticRidge,31,0.919
MNIST,SVM,73,0.9105714285714286
MNIST,LogisticRidge,19,0.922904761904762
MNIST,SVM,67,0.9066190476190475
MNIST,LogisticRidge,6,0.9227142857142856
MNIST,XGB,3,0.9727142857142858
MNIST,MLP,100,0.9425714015960692
MNIST,XGB,2,0.9722857142857144
MNIST,LogisticRidge,7,0.9212857142857144
MNIST,SVM,66,0.9057142857142856
MNIST,LogisticRidge,18,0.9221904761904762
MNIST,SVM,72,0.9044285714285716
MNIST,LogisticRidge,30,0.925809523809524
MNIST,LogisticRidge,24,0.9216190476190476
MNIST,SVM,99,0.9075238095238096
MNIST,LogisticRidge,61,0.9221904761904762
MNIST,XGB,28,0.9663809523809525
MNIST,LogisticRidge,75,0.9212380952380952
MNIST,XGB,14,0.9721904761904762
MNIST,LogisticRidge,49,0.921904761904762
MNIST,XGB,16,0.976904761904762
MNIST,LogisticRidge,63,0.9225238095238096
MNIST,LogisticRidge,77,0.9222380952380952
MNIST,SVM,58,0.9056666666666666
MNIST,LogisticRidge,32,0.9223333333333332
MNIST,LogisticRidge,26,0.9244761904761905
MNIST,SVM,64,0.9043333333333332
MNIST,SVM,70,0.9018095238095238
MNIST,LogisticRidge,5,0.9181904761904762
MNIST,XGB,0,0.9758095238095238
MNIST,XGB,18,0.9742380952380952
MNIST,XGB,19,0.9742380952380952
MNIST,XGB,1,0.9747142857142858
MNIST,LogisticRidge,4,0.920809523809524
MNIST,SVM,71,0.9040476190476192
MNIST,SVM,65,0.9042380952380952
MNIST,LogisticRidge,27,0.9208571428571428
MNIST,LogisticRidge,33,0.9241904761904762
MNIST,SVM,59,0.9044285714285716
MNIST,LogisticRidge,76,0.9234761904761905
MNIST,LogisticRidge,62,0.9207142857142856
MNIST,XGB,17,0.9719523809523808
MNIST,LogisticRidge,66,0.9198571428571428
MNIST,LogisticRidge,72,0.9209523809523811
MNIST,XGB,13,0.9690000000000001
MNIST,SVM,61,0.9094285714285716
MNIST,SVM,75,0.9031904761904762
MNIST,LogisticRidge,37,0.9211428571428572
MNIST,SVM,49,0.9025238095238096
MNIST,LogisticRidge,23,0.9212857142857144
MNIST,LogisticRidge,0,0.9222380952380952
MNIST,XGB,5,0.9583333333333334
MNIST,XGB,21,0.972
MNIST,XGB,20,0.9693333333333334
MNIST,XGB,4,0.9681428571428572
MNIST,LogisticRidge,1,0.9203333333333332
MNIST,LogisticRidge,22,0.9179999999999999
MNIST,SVM,48,0.9034285714285716
MNIST,LogisticRidge,36,0.9226190476190476
MNIST,SVM,74,0.905
MNIST,SVM,60,0.9064285714285716
MNIST,XGB,12,0.9734761904761904
MNIST,LogisticRidge,73,0.9211904761904762
MNIST,RF,73,0.9679523809523808
MNIST,RF,74,0.9636190476190476
MNIST,RF,75,0.9560476190476189
MNIST,RF,76,0.962904761904762
MNIST,RF,77,0.9684761904761904
MNIST,RF,78,0.966952380952381
MNIST,RF,79,0.958095238095238
MNIST,RF,80,0.9657619047619048
MNIST,RF,81,0.9634761904761904
MNIST,RF,84,0.9636666666666668
MNIST,RF,85,0.956
MNIST,RF,86,0.9631428571428572
MNIST,RF,87,0.9663333333333334
MNIST,RF,88,0.9502380952380952
MNIST,RF,89,0.9645714285714284
MNIST,RF,90,0.9572380952380952
MNIST,RF,91,0.960190476190476
MNIST,RF,92,0.9655714285714284
MNIST,RF,93,0.9607142857142856
MNIST,RF,94,0.9557142857142856
MNIST,RF,95,0.9588095238095238
MNIST,RF,98,0.9658095238095238
MNIST,RF,99,0.9524761904761904
MNIST,LogisticRidge,67,0.9227619047619048
MNIST,RF,72,0.9551428571428572
MNIST,LogisticRidge,71,0.9221904761904762
MNIST,XGB,38,0.9756666666666668
MNIST,LogisticRidge,65,0.9242380952380952
MNIST,MLP,39,0.9518571496009828
MNIST,XGB,10,0.9747619047619048
MNIST,LogisticRidge,59,0.923095238095238
MNIST,SVM,89,0.9035714285714286
MNIST,SVM,76,0.9071904761904762
MNIST,Tree,37,0.8657142857142858
MNIST,SVM,62,0.9056190476190475
MNIST,LogisticRidge,20,0.9193333333333332
MNIST,LogisticRidge,34,0.9237142857142856
MNIST,LogisticRidge,3,0.9239523809523811
MNIST,RF,97,0.9604285714285714
MNIST,RF,83,0.9627142857142856
MNIST,XGB,6,0.975095238095238
MNIST,XGB,22,0.9743809523809523
MNIST,XGB,7,0.9742857142857144
MNIST,RF,82,0.963904761904762
MNIST,RF,96,0.958904761904762
MNIST,LogisticRidge,2,0.923904761904762
MNIST,LogisticRidge,35,0.9239523809523811
MNIST,LogisticRidge,21,0.9226666666666666
MNIST,SVM,63,0.905
MNIST,Tree,0,0.7221428571428572
MNIST,Tree,1,0.8556666666666667
MNIST,Tree,2,0.8074761904761905
MNIST,Tree,4,0.6240952380952381
MNIST,Tree,5,0.8005238095238095
MNIST,Tree,6,0.8159047619047619
MNIST,Tree,7,0.7439047619047621
MNIST,Tree,8,0.6852380952380952
MNIST,Tree,9,0.7761428571428571
MNIST,Tree,10,0.7344761904761905
MNIST,Tree,11,0.6595714285714286
MNIST,Tree,12,0.6751428571428572
MNIST,Tree,13,0.7488571428571429
MNIST,Tree,14,0.7511428571428571
MNIST,Tree,15,0.6802857142857143
MNIST,Tree,16,0.7872857142857143
MNIST,Tree,17,0.5013809523809524
MNIST,Tree,18,0.7527619047619047
MNIST,Tree,19,0.8490000000000001
MNIST,Tree,20,0.7219523809523809
MNIST,Tree,21,0.7801428571428571
MNIST,Tree,22,0.7778095238095238
MNIST,Tree,23,0.7744285714285715
MNIST,Tree,24,0.8615238095238095
MNIST,Tree,25,0.5899047619047619
MNIST,Tree,26,0.7846666666666666
MNIST,Tree,27,0.6827142857142857
MNIST,Tree,28,0.5779047619047619
MNIST,Tree,29,0.6815238095238095
MNIST,Tree,30,0.7641904761904762
MNIST,Tree,31,0.7324285714285714
MNIST,Tree,32,0.8072380952380952
MNIST,Tree,33,0.7906666666666666
MNIST,Tree,34,0.6710952380952381
MNIST,Tree,35,0.8220476190476189
MNIST,Tree,36,0.7523333333333333
MNIST,SVM,77,0.9067619047619048
MNIST,SVM,88,0.9066666666666666
MNIST,LogisticRidge,58,0.9192380952380952
MNIST,MLP,11,0.9564762115478516
MNIST,MLP,12,0.9602857232093812
MNIST,MLP,13,0.9516666531562804
MNIST,MLP,14,0.9521428346633912
MNIST,MLP,15,0.955047607421875
MNIST,MLP,16,0.9567142724990844
MNIST,MLP,17,0.9493333101272584
MNIST,MLP,18,0.9457619190216064
MNIST,MLP,19,0.942714273929596
MNIST,MLP,20,0.9493809342384338
MNIST,MLP,21,0.95547616481781
MNIST,MLP,22,0.9566666483879088
MNIST,MLP,23,0.9448094964027404
MNIST,MLP,24,0.9520952105522156
MNIST,MLP,25,0.9549047350883484
MNIST,MLP,26,0.9532856941223145
MNIST,MLP,27,0.9494285583496094
MNIST,MLP,28,0.9449523687362672
MNIST,MLP,29,0.951619029045105
MNIST,MLP,30,0.9551904797554016
MNIST,MLP,31,0.9526666402816772
MNIST,MLP,32,0.9414761662483216
MNIST,MLP,33,0.9572380781173706
MNIST,MLP,34,0.9492856860160828
MNIST,MLP,35,0.9569047689437866
MNIST,MLP,36,0.9490952491760254
MNIST,MLP,37,0.9555237889289856
MNIST,MLP,38,0.9197618961334229
MNIST,XGB,11,0.965
MNIST,XGB,39,0.9745238095238096
MNIST,MLP,0,0.9523809552192688
MNIST,MLP,1,0.9521428346633912
MNIST,MLP,3,0.9603333473205566
MNIST,MLP,4,0.95933336019516
MNIST,MLP,5,0.9417142868041992
MNIST,MLP,6,0.9527142643928528
MNIST,MLP,7,0.9555714130401612
MNIST,MLP,8,0.9417619109153748
MNIST,MLP,9,0.947857141494751
MNIST,MLP,10,0.945809543132782
MNIST,LogisticRidge,64,0.921904761904762
MNIST,LogisticRidge,70,0.921095238095238
MNIST,RF,66,0.9603809523809524
MNIST,RF,67,0.9676190476190476
MNIST,RF,68,0.9654285714285714
MNIST,RF,69,0.964095238095238
MNIST,RF,70,0.963095238095238
MNIST,RF,71,0.9614285714285714
MNIST,RF,60,0.9645714285714284
MNIST,RF,61,0.9543333333333334
MNIST,RF,62,0.9558095238095238
MNIST,RF,63,0.9652380952380952
MNIST,RF,64,0.963904761904762
MNIST,RF,65,0.964095238095238
MNIST,MLP,2,0.9604762196540833
MNIST,Tree,3,0.6123809523809524
MNIST,RF,0,0.9673809523809525
MNIST,RF,1,0.9663333333333334
MNIST,RF,2,0.9616666666666668
MNIST,RF,3,0.961
MNIST,RF,4,0.9590000000000001
MNIST,RF,5,0.957095238095238
MNIST,RF,6,0.9662380952380952
MNIST,RF,7,0.961904761904762
MNIST,RF,8,0.9459523809523811
MNIST,RF,9,0.9622380952380952
MNIST,RF,10,0.9637142857142856
MNIST,RF,11,0.953
MNIST,RF,12,0.9611428571428572
MNIST,RF,13,0.9494285714285714
MNIST,RF,14,0.9616190476190476
MNIST,RF,15,0.961952380952381
MNIST,RF,16,0.9683333333333334
MNIST,RF,17,0.959904761904762
MNIST,RF,18,0.9595714285714284
MNIST,RF,19,0.9653333333333334
MNIST,RF,20,0.9594761904761904
MNIST,RF,21,0.954904761904762
MNIST,RF,22,0.9646666666666668
MNIST,RF,23,0.9643333333333334
MNIST,RF,24,0.964904761904762
MNIST,RF,25,0.96
MNIST,RF,26,0.9638571428571427
MNIST,RF,27,0.9536666666666668
MNIST,RF,28,0.955190476190476
MNIST,RF,29,0.9602380952380952
MNIST,RF,30,0.9653809523809525
MNIST,RF,31,0.9632857142857144
MNIST,RF,32,0.9652380952380952
MNIST,RF,33,0.963
MNIST,RF,34,0.9585714285714284
MNIST,RF,35,0.9687619047619048
MNIST,RF,36,0.9654285714285714
MNIST,RF,37,0.9675238095238096
MNIST,RF,38,0.9642857142857144
MNIST,RF,39,0.9635238095238096
MNIST,RF,40,0.9576190476190476
MNIST,RF,41,0.9598095238095238
MNIST,RF,42,0.9525238095238096
