data,method,sigma,noise,criteria,Consistency,Accuracy
PANCAN,K-Means++,4.0,normal,fowlkes mallows,0.2938117771341735,0.323356033376399
PANCAN,K-Means++,4.0,normal,v_measure,0.03226393365791548,0.11387038442144425
PANCAN,K-Means++,5.0,laplace,ARI,0.00011000957046194726,0.0064924934833296526
PANCAN,K-Means++,5.0,laplace,MI,0.00012982370108165938,0.009581202711995746
PANCAN,K-Means++,5.0,laplace,fowlkes mallows,0.32403232836942564,0.2872529248757696
PANCAN,K-Means++,5.0,laplace,v_measure,0.008606084694340295,0.017317475442578157
PANCAN,K-Means++,5.0,normal,ARI,0.0022728088531431376,0.030409395359497743
PANCAN,K-Means++,5.0,normal,MI,0.0032529826628897524,0.04208398670752582
PANCAN,K-Means++,5.0,normal,fowlkes mallows,0.2731045950615615,0.2812791258845899
PANCAN,K-Means++,5.0,normal,v_measure,0.010837140195185266,0.04911330786374677
PANCAN,HC (average),0.0,laplace,ARI,1.0,-0.0038448958092340236
PANCAN,HC (average),0.0,laplace,MI,1.0,0.0018191774088523816
PANCAN,HC (average),0.0,laplace,fowlkes mallows,1.0,0.48881113722337416
PANCAN,HC (average),0.0,laplace,v_measure,1.0,0.013810039339361223
PANCAN,HC (average),0.0,normal,ARI,1.0,-0.0038448958092340236
PANCAN,HC (average),0.0,normal,MI,1.0,0.0018191774088523816
PANCAN,HC (average),0.0,normal,fowlkes mallows,1.0,0.48881113722337416
PANCAN,HC (average),0.0,normal,v_measure,1.0,0.013810039339361223
PANCAN,HC (average),1.0,laplace,ARI,0.5733900364797311,0.0010760691758598198
PANCAN,HC (average),1.0,laplace,MI,0.5523676263311653,0.0016048416460446796
PANCAN,HC (average),1.0,laplace,fowlkes mallows,0.9926890304222447,0.4944457421541821
PANCAN,HC (average),1.0,laplace,v_measure,0.5557786498281764,0.011896462109507303
PANCAN,HC (average),1.0,normal,ARI,0.6996781658058533,0.0005924375738079628
PANCAN,HC (average),1.0,normal,MI,0.6578332011918637,0.0014529370140852816
PANCAN,HC (average),1.0,normal,fowlkes mallows,0.9943788008828053,0.4939487951602913
PANCAN,HC (average),1.0,normal,v_measure,0.6605858279200647,0.011882939747337427
PANCAN,HC (average),2.0,laplace,ARI,0.12818002039775442,0.001316669202411912
PANCAN,HC (average),2.0,laplace,MI,0.12434596344148136,0.0017530786049783165
PANCAN,HC (average),2.0,laplace,fowlkes mallows,0.9889534336945017,0.49467376085518855
PANCAN,HC (average),2.0,laplace,v_measure,0.1300640492197632,0.011992432991184448
PANCAN,HC (average),2.0,normal,ARI,0.5348354462311303,0.0012179701938224922
PANCAN,HC (average),2.0,normal,MI,0.5121999348569392,0.001626981311845427
PANCAN,HC (average),2.0,normal,fowlkes mallows,0.9919337481270297,0.4945989505917518
PANCAN,HC (average),2.0,normal,v_measure,0.5159404532210519,0.011867629120394123
PANCAN,HC (average),3.0,laplace,ARI,0.007782488461470545,0.0015053872174972773
PANCAN,HC (average),3.0,laplace,MI,0.0076544736049058175,0.001989165934044256
PANCAN,HC (average),3.0,laplace,fowlkes mallows,0.9893577643946811,0.49481028297795626
PANCAN,HC (average),3.0,laplace,v_measure,0.013616468893814628,0.012233371034072094
PANCAN,HC (average),3.0,normal,ARI,0.26277956387269147,0.0014495616877598391
PANCAN,HC (average),3.0,normal,MI,0.25071657984374474,0.0018863308416947652
PANCAN,HC (average),3.0,normal,fowlkes mallows,0.9898867945371146,0.4947744885319878
PANCAN,HC (average),3.0,normal,v_measure,0.25582450686444713,0.012124318414895766
PANCAN,HC (average),4.0,laplace,ARI,0.0028046537727514247,0.0016200613843499812
PANCAN,HC (average),4.0,laplace,MI,0.002781291106062397,0.0022199673131766194
PANCAN,HC (average),4.0,laplace,fowlkes mallows,0.9894857214700395,0.49487761481231807
PANCAN,HC (average),4.0,laplace,v_measure,0.008722854302090546,0.012483495511007057
PANCAN,HC (average),4.0,normal,ARI,0.05634037723325853,0.001568406545050178
PANCAN,HC (average),4.0,normal,MI,0.05126713611216652,0.0022007570384247606
PANCAN,HC (average),4.0,normal,fowlkes mallows,0.9877553570294051,0.4948319255883024
PANCAN,HC (average),4.0,normal,v_measure,0.05754916207353352,0.012471682484294722
PANCAN,HC (average),5.0,laplace,ARI,0.0007783564475244435,0.0012926696039770342
PANCAN,HC (average),5.0,laplace,MI,0.0007804369296548611,0.0020339828788377367
PANCAN,HC (average),5.0,laplace,fowlkes mallows,0.9894903289589728,0.49453159041116146
PANCAN,HC (average),5.0,laplace,v_measure,0.006726663935013342,0.01240797563930389
PANCAN,HC (average),5.0,normal,ARI,0.0208526089029642,0.001407631374029794
PANCAN,HC (average),5.0,normal,MI,0.019497341539919014,0.0021464837892552504
PANCAN,HC (average),5.0,normal,fowlkes mallows,0.9880677883364491,0.4945665220388591
PANCAN,HC (average),5.0,normal,v_measure,0.02578488442052738,0.012577160171997878
PANCAN,HC (complete),0.0,laplace,ARI,1.0,0.3159871162600644
PANCAN,HC (complete),0.0,laplace,MI,1.0,0.4475388574425174
PANCAN,HC (complete),0.0,laplace,fowlkes mallows,1.0,0.5130437620994481
PANCAN,HC (complete),0.0,laplace,v_measure,1.0,0.4518212815969427
PANCAN,HC (complete),0.0,normal,ARI,1.0,0.3159871162600644
PANCAN,HC (complete),0.0,normal,MI,1.0,0.4475388574425174
PANCAN,HC (complete),0.0,normal,fowlkes mallows,1.0,0.5130437620994481
PANCAN,HC (complete),0.0,normal,v_measure,1.0,0.4518212815969427
PANCAN,HC (complete),1.0,laplace,ARI,0.3268970385263408,0.28400113995874804
PANCAN,HC (complete),1.0,laplace,MI,0.3788532073420342,0.4779115918194154
PANCAN,HC (complete),1.0,laplace,fowlkes mallows,0.6481083753486815,0.5695562772649179
PANCAN,HC (complete),1.0,laplace,v_measure,0.3843215855440874,0.482388746527662
PANCAN,HC (complete),1.0,normal,ARI,0.30399562925795204,0.3390344473221391
PANCAN,HC (complete),1.0,normal,MI,0.3316983713917053,0.5244022976039417
PANCAN,HC (complete),1.0,normal,fowlkes mallows,0.6756184065782778,0.5861060943009266
PANCAN,HC (complete),1.0,normal,v_measure,0.3379054783750587,0.5282636027175072
PANCAN,HC (complete),2.0,laplace,ARI,0.2042590470944442,0.14810440214079043
PANCAN,HC (complete),2.0,laplace,MI,0.27645244155756427,0.2716129241049313
PANCAN,HC (complete),2.0,laplace,fowlkes mallows,0.48303745256369873,0.5220611918542084
PANCAN,HC (complete),2.0,laplace,v_measure,0.28261458536158385,0.2787963796123805
PANCAN,HC (complete),2.0,normal,ARI,0.34472230121936287,0.17849216971276516
PANCAN,HC (complete),2.0,normal,MI,0.4163782635028316,0.3238367009546893
PANCAN,HC (complete),2.0,normal,fowlkes mallows,0.6264169229861175,0.5350470748552018
PANCAN,HC (complete),2.0,normal,v_measure,0.42143763417172864,0.33031451461047273
PANCAN,HC (complete),3.0,laplace,ARI,0.011196365448751739,0.039732768096878035
PANCAN,HC (complete),3.0,laplace,MI,0.016431073485231075,0.08173973662624144
PANCAN,HC (complete),3.0,laplace,fowlkes mallows,0.4184032661429206,0.445339747461167
PANCAN,HC (complete),3.0,laplace,v_measure,0.025786436245776166,0.09115023003014713
PANCAN,HC (complete),3.0,normal,ARI,0.23094353399445064,0.06046007187174295
PANCAN,HC (complete),3.0,normal,MI,0.295047065537268,0.12411654618894911
PANCAN,HC (complete),3.0,normal,fowlkes mallows,0.4966593698246942,0.4739772269245776
PANCAN,HC (complete),3.0,normal,v_measure,0.3009828800258076,0.13334301036161428
PANCAN,HC (complete),4.0,laplace,ARI,0.00043249077278519125,0.0175200180528051
PANCAN,HC (complete),4.0,laplace,MI,0.00031386213647366894,0.02755672057094609
PANCAN,HC (complete),4.0,laplace,fowlkes mallows,0.4067356342492775,0.37735538329904705
PANCAN,HC (complete),4.0,laplace,v_measure,0.009637749796099023,0.0366897739892916
PANCAN,HC (complete),4.0,normal,ARI,0.033503528295525414,0.02001941007401031
PANCAN,HC (complete),4.0,normal,MI,0.05058521744927724,0.03623262380534841
PANCAN,HC (complete),4.0,normal,fowlkes mallows,0.3182805240949909,0.3927647592951008
PANCAN,HC (complete),4.0,normal,v_measure,0.05801803121808295,0.04556525755670401
PANCAN,HC (complete),5.0,laplace,ARI,-9.308405857242772e-05,0.00826576436609403
PANCAN,HC (complete),5.0,laplace,MI,5.383777278312867e-05,0.010295054971641881
