data,method,criteria,Accuracy,Consistency
Statlog,Gaussian MM,ARI,0.4378024122372897,0.5972313952816544
Statlog,Gaussian MM,Fowlkes Mallows,0.5427306639557896,0.6844310839321917
Statlog,Gaussian MM,MI,0.5816298435521267,0.7114746935017568
Statlog,Gaussian MM,V Measure,0.5843017874280747,0.7142432018889682
Statlog,HC (average),ARI,0.3456473021774204,0.8817285473374021
Statlog,HC (average),Fowlkes Mallows,0.481420789042542,0.9136064672997924
Statlog,HC (average),MI,0.4756849817329744,0.8823484602904424
Statlog,HC (average),V Measure,0.47905660098820574,0.8836106367506288
Statlog,HC (complete),ARI,0.37962619402617986,0.5976756647762707
Statlog,HC (complete),Fowlkes Mallows,0.49041493371913397,0.6794923963154541
Statlog,HC (complete),MI,0.5030139217692328,0.6739118234025336
Statlog,HC (complete),V Measure,0.5060466226522741,0.6769798750068775
Statlog,HC (single),ARI,0.042164084827885535,0.7547093450611435
Statlog,HC (single),Fowlkes Mallows,0.35511646281697096,0.9256982807731153
Statlog,HC (single),MI,0.13071089058086707,0.7948772395222817
Statlog,HC (single),V Measure,0.13676555196367976,0.7964471458270663
Statlog,HC (ward),ARI,0.4671145020378456,0.7364767375965217
Statlog,HC (ward),Fowlkes Mallows,0.5484947070503768,0.7789807794563852
Statlog,HC (ward),MI,0.5728232113094021,0.8194019198112364
Statlog,HC (ward),V Measure,0.5753266244501077,0.8209485422936995
Statlog,K-Means,ARI,0.4739266529525403,0.7493767788736871
Statlog,K-Means,Fowlkes Mallows,0.5742292789896343,0.8037362021890483
Statlog,K-Means,MI,0.6011753185797685,0.8180993505269035
Statlog,K-Means,V Measure,0.603736442944782,0.819875316678548
Statlog,K-Means (minibatch),ARI,0.48246659585881857,0.6416058776046758
Statlog,K-Means (minibatch),Fowlkes Mallows,0.5776252381887533,0.7154774445667126
Statlog,K-Means (minibatch),MI,0.6108418991151555,0.7327549573021863
Statlog,K-Means (minibatch),V Measure,0.6132947795335842,0.7353078599383371
Statlog,K-Means++,ARI,0.46897762192291614,0.807080600889517
Statlog,K-Means++,Fowlkes Mallows,0.5730636146578063,0.8497110468428911
Statlog,K-Means++,MI,0.5942812281770913,0.860260801116675
Statlog,K-Means++,V Measure,0.5969050487382985,0.8616286853023247
Statlog,Spectral (NN),ARI,0.3776883622421961,0.7406510964847307
Statlog,Spectral (NN),Fowlkes Mallows,0.5013757227672343,0.80604457564708
Statlog,Spectral (NN),MI,0.5639942350818639,0.8508931631387171
Statlog,Spectral (NN),V Measure,0.5667163230693325,0.8523886070301303
Statlog,Spectral (RBF),ARI,0.5152508677874021,0.9450061594124851
Statlog,Spectral (RBF),Fowlkes Mallows,0.5864933824116594,0.9533049068528913
Statlog,Spectral (RBF),MI,0.5893599719634842,0.9444216681386128
Statlog,Spectral (RBF),V Measure,0.5917460589666566,0.9448891390389167
TCGA,Birch,ARI,0.24416246105430656,0.4393138377960388
TCGA,Birch,Fowlkes Mallows,0.454271138816904,0.5813486682071876
TCGA,Birch,MI,0.32116808531736524,0.5161833394150469
TCGA,Birch,V Measure,0.33443515097003895,0.5291509299153652
TCGA,Gaussian MM,ARI,0.24450926353717498,0.5292599673060129
TCGA,Gaussian MM,Fowlkes Mallows,0.4449765897338212,0.6361037552503878
TCGA,Gaussian MM,MI,0.3109409484010792,0.5987180215808068
TCGA,Gaussian MM,V Measure,0.32415437290180327,0.6088033947580517
TCGA,HC (average),ARI,0.31606652468191654,0.504019795230104
TCGA,HC (average),Fowlkes Mallows,0.5251396340918911,0.6601887405408001
TCGA,HC (average),MI,0.34432293648568246,0.5431196209699947
TCGA,HC (average),V Measure,0.3574811833154559,0.5555747624372375
TCGA,HC (complete),ARI,0.18546444968248335,0.3283432145168058
TCGA,HC (complete),Fowlkes Mallows,0.3991877033996119,0.47792204822448797
TCGA,HC (complete),MI,0.26121406854182705,0.40093765560941685
TCGA,HC (complete),V Measure,0.27536028827318987,0.4159212630863839
TCGA,HC (single),ARI,0.004992698648359957,0.6397300351227436
TCGA,HC (single),Fowlkes Mallows,0.5459409721879297,0.9909156620924325
TCGA,HC (single),MI,0.004441353704678352,0.6404742456358199
TCGA,HC (single),V Measure,0.02884333730258748,0.6451914443150553
TCGA,HC (ward),ARI,0.23148137525528598,0.4735672908553583
TCGA,HC (ward),Fowlkes Mallows,0.4411436832731592,0.6009193660499862
TCGA,HC (ward),MI,0.3263418115989176,0.5292556281278423
TCGA,HC (ward),V Measure,0.33940475679177246,0.541520004581173
TCGA,K-Means,ARI,0.2544276912181001,0.6623031575401664
TCGA,K-Means,Fowlkes Mallows,0.45323079780392317,0.7397281224104411
TCGA,K-Means,MI,0.31298211146517085,0.6906256258027378
TCGA,K-Means,V Measure,0.326186678731558,0.6984915858695383
TCGA,K-Means (minibatch),ARI,0.2378979705251921,0.42382922693214137
TCGA,K-Means (minibatch),Fowlkes Mallows,0.4456132162950201,0.5643934280322531
TCGA,K-Means (minibatch),MI,0.3036288851102044,0.5158015339367639
TCGA,K-Means (minibatch),V Measure,0.31710935437713744,0.5283085538720941
TCGA,K-Means++,ARI,0.25917787891180477,0.6754809732942482
TCGA,K-Means++,Fowlkes Mallows,0.4563155780811083,0.7495416532933155
TCGA,K-Means++,MI,0.3156490679800987,0.7039746246853524
TCGA,K-Means++,V Measure,0.32879105465792746,0.7114787530322126
TCGA,Spectral (NN),ARI,0.2293835938772852,0.7253307122888946
TCGA,Spectral (NN),Fowlkes Mallows,0.4317437050884294,0.7861179700623155
TCGA,Spectral (NN),MI,0.31504343759449144,0.7234207081679228
TCGA,Spectral (NN),V Measure,0.3281325246431166,0.7302672605075335
TCGA,Spectral (RBF),ARI,0.24010314175423886,0.8293139123776049
TCGA,Spectral (RBF),Fowlkes Mallows,0.4404738556425953,0.8674860680828408
TCGA,Spectral (RBF),MI,0.32184532753221307,0.8231531098925736
TCGA,Spectral (RBF),V Measure,0.3348232664480399,0.8275646640415528
Tetragonula,Birch,ARI,0.45936390696626844,0.910804473635618
Tetragonula,Birch,Fowlkes Mallows,0.6310407743810589,0.9458239157770182
Tetragonula,Birch,MI,0.6591826391285658,0.9216630741315952
Tetragonula,Birch,V Measure,0.6898091951379979,0.9296207794424562
Tetragonula,Gaussian MM,ARI,0.46610296754288194,0.7795229508345732
Tetragonula,Gaussian MM,Fowlkes Mallows,0.612677192567765,0.8492378920357719
Tetragonula,Gaussian MM,MI,0.6598531026126705,0.8444221767324853
Tetragonula,Gaussian MM,V Measure,0.6920146349320707,0.8626898543042899
Tetragonula,HC (average),ARI,0.5219893180138455,0.8779190916258842
Tetragonula,HC (average),Fowlkes Mallows,0.6509574227071866,0.9155776423539911
Tetragonula,HC (average),MI,0.715094522735863,0.9315066473754461
Tetragonula,HC (average),V Measure,0.742071379288168,0.939516809210577
Tetragonula,HC (complete),ARI,0.6329104609422703,0.7657182215720388
Tetragonula,HC (complete),Fowlkes Mallows,0.702362324452316,0.8061333908114172
Tetragonula,HC (complete),MI,0.749858563994215,0.835353863959364
Tetragonula,HC (complete),V Measure,0.7741741333867662,0.8575314005687934
Tetragonula,HC (single),ARI,0.4720071979365519,0.9928263781068315
Tetragonula,HC (single),Fowlkes Mallows,0.6227623088830854,0.9952462702251295
Tetragonula,HC (single),MI,0.6984422949454805,0.9853259014200668
Tetragonula,HC (single),V Measure,0.7272419276089274,0.9870266970365004
Tetragonula,HC (ward),ARI,0.5918393653235124,0.7828380043409082
Tetragonula,HC (ward),Fowlkes Mallows,0.6673052658026615,0.8148637031016458
Tetragonula,HC (ward),MI,0.7228816506839171,0.8640350042112761
Tetragonula,HC (ward),V Measure,0.7505895737310518,0.8844197293963014
Tetragonula,K-Means,ARI,0.5534164133209328,0.7054162161654746
Tetragonula,K-Means,Fowlkes Mallows,0.6541750005112513,0.7812535998005231
Tetragonula,K-Means,MI,0.6951878837170332,0.8206183656802011
Tetragonula,K-Means,V Measure,0.7245336241221022,0.8434099611484907
Tetragonula,K-Means (minibatch),ARI,0.45704893510404687,0.7772751315707256
Tetragonula,K-Means (minibatch),Fowlkes Mallows,0.6012003980306444,0.8452031498369734
Tetragonula,K-Means (minibatch),MI,0.6581058983414452,0.8438601714229457
Tetragonula,K-Means (minibatch),V Measure,0.6909142557658189,0.8631918460334128
Tetragonula,K-Means++,ARI,0.4648019933332751,0.9177141482457474
Tetragonula,K-Means++,Fowlkes Mallows,0.6142593317000012,0.9444340183713966
Tetragonula,K-Means++,MI,0.6687998380979115,0.9400892822271519
Tetragonula,K-Means++,V Measure,0.6998973927240363,0.9469757324066616
Tetragonula,Spectral (NN),ARI,0.5199940284317909,0.7224401243986537
Tetragonula,Spectral (NN),Fowlkes Mallows,0.6070628375383672,0.7605225710756246
Tetragonula,Spectral (NN),MI,0.6878963728704144,0.8319411317010679
Tetragonula,Spectral (NN),V Measure,0.7191650368461486,0.857883475277993
Tetragonula,Spectral (RBF),ARI,0.5641758864368851,0.7655766344967855
Tetragonula,Spectral (RBF),Fowlkes Mallows,0.6443391948448732,0.8008411652394657
Tetragonula,Spectral (RBF),MI,0.6981656924744548,0.8367496930033147
Tetragonula,Spectral (RBF),V Measure,0.7282659693791512,0.8611109278396676
Veronica,Birch,ARI,1.0,1.0
Veronica,Birch,Fowlkes Mallows,1.0,1.0
Veronica,Birch,MI,1.0,1.0
Veronica,Birch,V Measure,1.0,1.0
Veronica,Gaussian MM,ARI,0.8558488368583275,0.7717126597527567
Veronica,Gaussian MM,Fowlkes Mallows,0.8883703827844199,0.8241945132617876
Veronica,Gaussian MM,MI,0.9094270934446922,0.846226346488821
Veronica,Gaussian MM,V Measure,0.9181801676337982,0.8656467729263482
Veronica,HC (average),ARI,1.0,1.0
Veronica,HC (average),Fowlkes Mallows,1.0,1.0
Veronica,HC (average),MI,1.0,1.0
Veronica,HC (average),V Measure,1.0,1.0
Veronica,HC (complete),ARI,0.7856035320585494,0.7209132378326044
Veronica,HC (complete),Fowlkes Mallows,0.8255298863561354,0.7709319578263368
Veronica,HC (complete),MI,0.8454946045504976,0.8018204482354118
Veronica,HC (complete),V Measure,0.8610058777884807,0.8297351683859343
Veronica,HC (single),ARI,1.0,1.0
Veronica,HC (single),Fowlkes Mallows,1.0,1.0
Veronica,HC (single),MI,1.0,1.0
Veronica,HC (single),V Measure,1.0,1.0
Veronica,HC (ward),ARI,0.9448567875813338,0.9581527646823751
Veronica,HC (ward),Fowlkes Mallows,0.9553672507714783,0.9660191570974782
Veronica,HC (ward),MI,0.9644140177959406,0.9703810852955057
Veronica,HC (ward),V Measure,0.968020315428728,0.9746036620432618
Veronica,K-Means,ARI,0.9145154205993221,0.8455515998132708
Veronica,K-Means,Fowlkes Mallows,0.9318912642747121,0.8771512139362087
Veronica,K-Means,MI,0.9369662321451954,0.8821262486639518
Veronica,K-Means,V Measure,0.9431257502521097,0.897546597030957
Veronica,K-Means (minibatch),ARI,0.918625968540079,0.8682756940072942
Veronica,K-Means (minibatch),Fowlkes Mallows,0.9361458694341864,0.8968962300576727
Veronica,K-Means (minibatch),MI,0.9465012342095869,0.9097013038130323
Veronica,K-Means (minibatch),V Measure,0.9517009793224034,0.9213541959158961
Veronica,K-Means++,ARI,0.972566597654623,0.9533254514641141
Veronica,K-Means++,Fowlkes Mallows,0.9778877250516729,0.9624312415865869
Veronica,K-Means++,MI,0.97880918423475,0.9640340345287364
Veronica,K-Means++,V Measure,0.9809032309796356,0.9689023368606462
Veronica,Spectral (NN),ARI,0.8895433569969866,0.9338579744825214
Veronica,Spectral (NN),Fowlkes Mallows,0.9106989707842251,0.9460440207219266
Veronica,Spectral (NN),MI,0.9278505720256573,0.9652355656452862
Veronica,Spectral (NN),V Measure,0.9351875792697416,0.9703290595272299
Veronica,Spectral (RBF),ARI,0.9010783660081922,0.9630454747538184
Veronica,Spectral (RBF),Fowlkes Mallows,0.9194949213955487,0.97006675686902
Veronica,Spectral (RBF),MI,0.9427207037250078,0.9696958663337467
Veronica,Spectral (RBF),V Measure,0.9485354092203145,0.974035059763987
WDBC,Birch,ARI,0.5886629860509253,0.6765902874032348
WDBC,Birch,Fowlkes Mallows,0.81161108109859,0.8551025444115374
WDBC,Birch,MI,0.48152252824664776,0.5999945726453041
WDBC,Birch,V Measure,0.48253043633911624,0.6011305399354809
WDBC,Gaussian MM,ARI,0.756130864000651,0.933893217728094
WDBC,Gaussian MM,Fowlkes Mallows,0.8858321708431185,0.9691310439764886
WDBC,Gaussian MM,MI,0.6417802378519898,0.8818861189899689
WDBC,Gaussian MM,V Measure,0.642465432634662,0.8822107969540861
WDBC,HC (average),ARI,0.10405293024891364,0.10245337384015
WDBC,HC (average),Fowlkes Mallows,0.6898625173520349,0.799076879450691
WDBC,HC (average),MI,0.10917076036930268,0.09627103269923516
WDBC,HC (average),V Measure,0.11214833080680929,0.10119939949811452
WDBC,HC (complete),ARI,0.6642312397082248,0.678979860999531
WDBC,HC (complete),Fowlkes Mallows,0.8427770591683695,0.8501684715592867
WDBC,HC (complete),MI,0.5567452213498486,0.5940692426608412
WDBC,HC (complete),V Measure,0.5575935082671032,0.5951866077858354
WDBC,HC (single),ARI,0.0,0.33685911939628005
WDBC,HC (single),Fowlkes Mallows,0.7271135963716543,0.9962956304054639
WDBC,HC (single),MI,0.0003012437318190862,0.33660213612593326
WDBC,HC (single),V Measure,0.005202645847342755,0.33771104761800635
WDBC,HC (ward),ARI,0.6696977643221408,0.6945122045267647
WDBC,HC (ward),Fowlkes Mallows,0.8449844040554281,0.8570851061120444
WDBC,HC (ward),MI,0.5676800772934123,0.6170205328375943
WDBC,HC (ward),V Measure,0.5685064735378075,0.6180732122983521
WDBC,K-Means,ARI,0.6674028231416372,0.9538344576820365
WDBC,K-Means,Fowlkes Mallows,0.8484201717518088,0.9796623674741074
WDBC,K-Means,MI,0.5524477398616991,0.9176586248655859
WDBC,K-Means,V Measure,0.5533204149811712,0.9178948464654503
WDBC,K-Means (minibatch),ARI,0.6669796325041015,0.9104754578170752
WDBC,K-Means (minibatch),Fowlkes Mallows,0.8491073012501054,0.9610480785914015
WDBC,K-Means (minibatch),MI,0.5572683664358883,0.8589006223999521
WDBC,K-Means (minibatch),V Measure,0.5581349809896217,0.8593087033583975
WDBC,K-Means++,ARI,0.6669997009000908,0.9534953917881246
WDBC,K-Means++,Fowlkes Mallows,0.8482285824570798,0.9795180907233957
WDBC,K-Means++,MI,0.5520729315647341,0.9174374983051056
WDBC,K-Means++,V Measure,0.5529463077425466,0.9176743838257517
WDBC,Spectral (NN),ARI,0.7879531016128856,0.9414236023487046
WDBC,Spectral (NN),Fowlkes Mallows,0.9015141634661131,0.9730153614567776
WDBC,Spectral (NN),MI,0.6810337731442014,0.8969318121198989
WDBC,Spectral (NN),V Measure,0.6816473991790218,0.8972181274460346
WDBC,Spectral (RBF),ARI,0.7252191147424791,0.9657243782302307
WDBC,Spectral (RBF),Fowlkes Mallows,0.8714964314859901,0.9840430723758858
WDBC,Spectral (RBF),MI,0.605572835196475,0.9364694281878426
WDBC,Spectral (RBF),V Measure,0.6063279032682659,0.936644412395661
