data,method,criteria,Accuracy,Consistency
Bean,Spectral (NN),MI,0.6675244906094793,0.7112870789720996
Bean,Spectral (NN),V Measure,0.6678729945769409,0.711726146995879
Bean,Spectral (RBF),ARI,0.4996255537017326,0.9762349057188443
Bean,Spectral (RBF),Fowlkes Mallows,0.5857632048658281,0.9803118937622857
Bean,Spectral (RBF),MI,0.558483939492552,0.965413054821474
Bean,Spectral (RBF),V Measure,0.5589373986097104,0.965463593244128
Call,Birch,ARI,0.6305213603076278,0.730590967048059
Call,Birch,Fowlkes Mallows,0.776132528117313,0.7809538209506269
Call,Birch,MI,0.575449810381781,0.8254809687985297
Call,Birch,V Measure,0.5775880042001154,0.8265573158371521
Call,Gaussian MM,ARI,0.46148229890031794,0.6879079680404635
Call,Gaussian MM,Fowlkes Mallows,0.5939887292993243,0.7364820528930797
Call,Gaussian MM,MI,0.6317063687269023,0.7787468921604872
Call,Gaussian MM,V Measure,0.6332966767352246,0.7799712689056428
Call,HC (average),ARI,0.15688427187217704,0.8937093227955228
Call,HC (average),Fowlkes Mallows,0.5756311870757793,0.9276852358309734
Call,HC (average),MI,0.20253246349755508,0.8546826140370107
Call,HC (average),V Measure,0.20732408712493133,0.855588316278997
Call,HC (complete),ARI,0.705381157907496,0.5297373965871699
Call,HC (complete),Fowlkes Mallows,0.7970802236024349,0.6123609312449587
Call,HC (complete),MI,0.620451730150053,0.662859738343228
Call,HC (complete),V Measure,0.6222957014497532,0.6649248559843802
Call,HC (single),ARI,0.0017431572250251575,0.7712409605851789
Call,HC (single),Fowlkes Mallows,0.5299556299455391,0.9990002199980664
Call,HC (single),MI,0.002022970147248262,0.7764830706021969
Call,HC (single),V Measure,0.0055697343043925145,0.7769757685124081
Call,HC (ward),ARI,0.4523151170778083,0.7110816967126653
Call,HC (ward),Fowlkes Mallows,0.5890066309887206,0.7489547250428612
Call,HC (ward),MI,0.6602811744369322,0.831187663206342
Call,HC (ward),V Measure,0.6617440870835217,0.8320879035783445
Call,K-Means,ARI,0.4126728182087329,0.7133912852164932
Call,K-Means,Fowlkes Mallows,0.5543370046484235,0.7586313740197016
Call,K-Means,MI,0.6157881901360882,0.8305129005201842
Call,K-Means,V Measure,0.6174398843925429,0.831482703416339
Call,K-Means (minibatch),ARI,0.448335670912054,0.6498924940306815
Call,K-Means (minibatch),Fowlkes Mallows,0.5828117232545803,0.7066257213121014
Call,K-Means (minibatch),MI,0.6169337365129958,0.7829587080256389
Call,K-Means (minibatch),V Measure,0.6185982866215519,0.7842094736118531
