data,method1,method2,criteria,value,methods
Amphibians,Gaussian MM,HC (ward),V Measure,0.9876833456645628,Gaussian MM:HC (ward)
Amphibians,HC (average),HC (ward),ARI,0.028293969343146805,HC (average):HC (ward)
Amphibians,HC (average),HC (ward),MI,0.024969304789942012,HC (average):HC (ward)
Amphibians,HC (average),HC (ward),Fowlkes Mallows,0.776100036425516,HC (average):HC (ward)
Amphibians,HC (average),HC (ward),V Measure,0.038600495322152865,HC (average):HC (ward)
Amphibians,HC (complete),HC (ward),ARI,-0.020032785975709615,HC (complete):HC (ward)
Amphibians,HC (complete),HC (ward),MI,-0.008261184260832171,HC (complete):HC (ward)
Amphibians,HC (complete),HC (ward),Fowlkes Mallows,0.9105429277418365,HC (complete):HC (ward)
Amphibians,HC (complete),HC (ward),V Measure,0.006114631111581618,HC (complete):HC (ward)
Amphibians,HC (single),HC (ward),ARI,-0.013493783375347297,HC (single):HC (ward)
Amphibians,HC (single),HC (ward),MI,-0.008860962227245204,HC (single):HC (ward)
Amphibians,HC (single),HC (ward),Fowlkes Mallows,0.9654730609229251,HC (single):HC (ward)
Amphibians,HC (single),HC (ward),V Measure,0.0028536831501771082,HC (single):HC (ward)
Amphibians,HC (ward),HC (ward),ARI,1.0,HC (ward):HC (ward)
Amphibians,HC (ward),HC (ward),MI,1.0,HC (ward):HC (ward)
Amphibians,HC (ward),HC (ward),Fowlkes Mallows,1.0,HC (ward):HC (ward)
Amphibians,HC (ward),HC (ward),V Measure,1.0,HC (ward):HC (ward)
Amphibians,HC (ward),K-Means,ARI,0.9926020580295468,HC (ward):K-Means
Amphibians,HC (ward),K-Means,MI,0.9894255856350743,HC (ward):K-Means
Amphibians,HC (ward),K-Means,Fowlkes Mallows,0.9995156216070841,HC (ward):K-Means
Amphibians,HC (ward),K-Means,V Measure,0.9895873162128345,HC (ward):K-Means
Amphibians,HC (ward),K-Means (minibatch),ARI,0.9298673401698856,HC (ward):K-Means (minibatch)
Amphibians,HC (ward),K-Means (minibatch),MI,0.9239296191940213,HC (ward):K-Means (minibatch)
Amphibians,HC (ward),K-Means (minibatch),Fowlkes Mallows,0.990022411418323,HC (ward):K-Means (minibatch)
Amphibians,HC (ward),K-Means (minibatch),V Measure,0.9249625661282407,HC (ward):K-Means (minibatch)
Amphibians,HC (ward),K-Means++,ARI,0.9926020580295468,HC (ward):K-Means++
Amphibians,HC (ward),K-Means++,MI,0.9894255856350743,HC (ward):K-Means++
Amphibians,HC (ward),K-Means++,Fowlkes Mallows,0.9995156216070841,HC (ward):K-Means++
Amphibians,HC (ward),K-Means++,V Measure,0.9895873162128345,HC (ward):K-Means++
Amphibians,Birch,HC (ward),ARI,1.0,Birch:HC (ward)
Amphibians,Birch,HC (ward),MI,1.0,Birch:HC (ward)
Amphibians,Birch,HC (ward),Fowlkes Mallows,1.0,Birch:HC (ward)
Amphibians,Birch,HC (ward),V Measure,1.0,Birch:HC (ward)
Amphibians,K-Means,K-Means,ARI,1.0,K-Means:K-Means
Amphibians,K-Means,K-Means,MI,1.0,K-Means:K-Means
Amphibians,K-Means,K-Means,Fowlkes Mallows,1.0,K-Means:K-Means
Amphibians,K-Means,K-Means,V Measure,1.0,K-Means:K-Means
Amphibians,Gaussian MM,K-Means (minibatch),ARI,0.9276858060137886,Gaussian MM:K-Means (minibatch)
Amphibians,Gaussian MM,K-Means (minibatch),MI,0.9223258498611366,Gaussian MM:K-Means (minibatch)
Amphibians,Gaussian MM,K-Means (minibatch),Fowlkes Mallows,0.9899395043571539,Gaussian MM:K-Means (minibatch)
Amphibians,Gaussian MM,K-Means (minibatch),V Measure,0.923384955804014,Gaussian MM:K-Means (minibatch)
Amphibians,K-Means,K-Means (minibatch),ARI,0.9312277446958831,K-Means:K-Means (minibatch)
Amphibians,K-Means,K-Means (minibatch),MI,0.9260900642561609,K-Means:K-Means (minibatch)
Amphibians,K-Means,K-Means (minibatch),Fowlkes Mallows,0.9901667144354453,K-Means:K-Means (minibatch)
Amphibians,K-Means,K-Means (minibatch),V Measure,0.9270970666647956,K-Means:K-Means (minibatch)
Amphibians,K-Means (minibatch),K-Means (minibatch),ARI,1.0,K-Means (minibatch):K-Means (minibatch)
Amphibians,K-Means (minibatch),K-Means (minibatch),MI,1.0,K-Means (minibatch):K-Means (minibatch)
Amphibians,K-Means (minibatch),K-Means (minibatch),Fowlkes Mallows,1.0,K-Means (minibatch):K-Means (minibatch)
Amphibians,K-Means (minibatch),K-Means (minibatch),V Measure,1.0,K-Means (minibatch):K-Means (minibatch)
Amphibians,Birch,K-Means (minibatch),ARI,0.9298673401698856,Birch:K-Means (minibatch)
Amphibians,Birch,K-Means (minibatch),MI,0.9239296191940214,Birch:K-Means (minibatch)
Amphibians,Birch,K-Means (minibatch),Fowlkes Mallows,0.990022411418323,Birch:K-Means (minibatch)
Amphibians,Birch,K-Means (minibatch),V Measure,0.9249625661282407,Birch:K-Means (minibatch)
Amphibians,Gaussian MM,K-Means++,ARI,0.989775289957209,Gaussian MM:K-Means++
Amphibians,Gaussian MM,K-Means++,MI,0.9867359174101399,Gaussian MM:K-Means++
Amphibians,Gaussian MM,K-Means++,Fowlkes Mallows,0.9992897954908411,Gaussian MM:K-Means++
Amphibians,Gaussian MM,K-Means++,V Measure,0.986945753899361,Gaussian MM:K-Means++
Amphibians,K-Means,K-Means++,ARI,1.0,K-Means:K-Means++
Amphibians,K-Means,K-Means++,MI,1.0,K-Means:K-Means++
Amphibians,K-Means,K-Means++,Fowlkes Mallows,1.0,K-Means:K-Means++
