data,model,mse
Blog,MLP,1.1696097486510018
Blog,MLP,1.2713634614144702
Blog,MLP,1.2219570028006863
Blog,MLP,1.3033115971572935
Blog,MLP,1.0021530830186676
Blog,MLP,1.0804455111806983
Blog,MLP,1.9108954077556175
Blog,MLP,1.2167074224271641
Blog,MLP,1.0978240905029972
Blog,MLP,1.3737123110969518
Blog,MLP,1.2070752143072283
Blog,MLP,1.3514935612120245
Blog,MLP,1.270187710102224
Blog,MLP,1.0643279261283034
Blog,MLP,1.2427780575727063
Blog,MLP,3.692739477628493
Blog,MLP,1.0065138228858252
Blog,MLP,1.0189700912780977
Blog,MLP,1.1628220311861384
Blog,MLP,1.0032970709954674
Blog,MLP,1.2409069254329743
Blog,MLP,1.041638861155718
Blog,MLP,4.518556371182285
Blog,MLP,1.1084240943117376
Blog,MLP,1.194255967668405
Blog,MLP,1.2690782617606258
Blog,MLP,1.21910553968639
Blog,MLP,3.0751296063181712
Blog,MLP,1.3242312396294122
Blog,MLP,1.2906790586139645
Blog,MLP,1.4214403153498696
Blog,MLP,1.3759830381932403
Blog,MLP,1.2270622517950482
Blog,MLP,1.0823933446687743
Blog,MLP,2.2353456509021195
Blog,MLP,1.080245405653287
Blog,MLP,1.0282572641345262
Blog,MLP,1.0364407326656409
Blog,MLP,1.011396042158048
Blog,MLP,1.4144680285140223
Blog,MLP,1.2268454524767236
Blog,MLP,1.2348476235752628
Blog,MLP,4.057433139690958
Blog,MLP,1.4612110233953362
Blog,MLP,1.212941393134636
Blog,MLP,1.3223788866159936
Blog,MLP,1.2719827567570976
Blog,MLP,1.3259673311691242
Blog,MLP,1.0148139703455297
Blog,MLP,1.3311003133055157
Blog,MLP,1.0028081845640544
Blog,MLP,1.2099541567368457
Blog,MLP,1.2279454244654175
Blog,MLP,1.0037972926143344
Blog,MLP,1.0422694823632277
Blog,MLP,1.02140352517535
Blog,MLP,1.0072696900520302
Blog,MLP,1.354154208502511
Blog,MLP,1.1395981202429974
Blog,MLP,1.0024210031235348
Blog,MLP,1.11927699541812
Blog,MLP,1.0368533355187148
Blog,MLP,1.3340330242205916
Blog,MLP,2.797270084772449
Blog,MLP,13.506560589714873
Blog,MLP,1.298355186434506
Blog,MLP,1.0011079137545056
Blog,MLP,1.1752192175603406
